angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	7.6061	0.11251	9.7216
0.001	7.6049	0.12574	7.7758
0.002	7.6036	0.16083	6.1743
0.003	7.6023	0.20112	5.004
0.004	7.601	0.22994	4.3519
0.005	7.5996	0.23537	4.239
0.006	7.5983	0.23041	4.3409
0.007	7.597	0.22974	4.3544
0.008	7.5957	0.23061	4.3358
0.009	7.5943	0.23022	4.3434
0.01	7.593	0.2297	4.3537
0.011	7.5916	0.22948	4.3576
0.012	7.5903	0.22924	4.3622
0.013	7.5889	0.22893	4.3682
0.014	7.5876	0.22863	4.3738
0.015	7.5862	0.22835	4.3793
0.016	7.5848	0.22805	4.3849
0.017	7.5834	0.22776	4.3906
0.018	7.5821	0.22746	4.3964
0.019	7.5807	0.22716	4.4022
0.02	7.5793	0.22686	4.4081
0.021	7.5779	0.22655	4.414
0.022	7.5764	0.22625	4.42
0.023	7.575	0.22594	4.426
0.024	7.5736	0.22563	4.4321
0.025	7.5722	0.22532	4.4382
0.026	7.5708	0.225	4.4444
0.027	7.5693	0.22469	4.4507
0.028	7.5679	0.22437	4.457
0.029	7.5664	0.22405	4.4633
0.03	7.565	0.22373	4.4698
0.031	7.5635	0.2234	4.4762
0.032	7.5621	0.22308	4.4828
0.033	7.5606	0.22275	4.4893
0.034	7.5591	0.22242	4.496
0.035	7.5576	0.22209	4.5027
0.036	7.5561	0.22176	4.5094
0.037	7.5547	0.22142	4.5162
0.038	7.5532	0.22109	4.5231
0.039	7.5517	0.22075	4.53
0.04	7.5501	0.22041	4.537
0.041	7.5486	0.22007	4.544
0.042	7.5471	0.21973	4.5511
0.043	7.5456	0.21938	4.5583
0.044	7.5441	0.21904	4.5655
0.045	7.5425	0.21869	4.5727
0.046	7.541	0.21834	4.58
0.047	7.5395	0.21799	4.5874
0.048	7.5379	0.21764	4.5948
0.049	7.5364	0.21728	4.6023
0.05	7.5348	0.21693	4.6098
0.051	7.5332	0.21657	4.6174
0.052	7.5317	0.21621	4.6251
0.053	7.5301	0.21585	4.6328
0.054	7.5285	0.21549	4.6405
0.055	7.5269	0.21513	4.6483
0.056	7.5254	0.21477	4.6562
0.057	7.5238	0.2144	4.6641
0.058	7.5222	0.21404	4.6721
0.059	7.5206	0.21367	4.6801
0.06	7.519	0.2133	4.6882
0.061	7.5174	0.21293	4.6964
0.062	7.5157	0.21256	4.7046
0.063	7.5141	0.21219	4.7128
0.064	7.5125	0.21181	4.7211
0.065	7.5109	0.21144	4.7295
0.066	7.5092	0.21106	4.7379
0.067	7.5076	0.21068	4.7464
0.068	7.506	0.21031	4.755
0.069	7.5043	0.20993	4.7636
0.07	7.5027	0.20955	4.7722
0.071	7.501	0.20916	4.7809
0.072	7.4993	0.20878	4.7897
0.073	7.4977	0.2084	4.7985
0.074	7.496	0.20801	4.8074
0.075	7.4943	0.20763	4.8163
0.076	7.4927	0.20724	4.8253
0.077	7.491	0.20685	4.8343
0.078	7.4893	0.20647	4.8434
0.079	7.4876	0.20608	4.8526
0.08	7.4859	0.20569	4.8618
0.081	7.4842	0.20529	4.871
0.082	7.4825	0.2049	4.8804
0.083	7.4808	0.20451	4.8897
0.084	7.4791	0.20412	4.8992
0.085	7.4774	0.20372	4.9087
0.086	7.4757	0.20333	4.9182
0.087	7.4739	0.20293	4.9278
0.088	7.4722	0.20253	4.9374
0.089	7.4705	0.20214	4.9471
0.09	7.4687	0.20174	4.9569
0.091	7.467	0.20134	4.9667
0.092	7.4653	0.20094	4.9766
0.093	7.4635	0.20054	4.9865
0.094	7.4618	0.20014	4.9965
0.095	7.46	0.19974	5.0065
0.096	7.4582	0.19934	5.0166
0.097	7.4565	0.19894	5.0268
0.098	7.4547	0.19853	5.037
0.099	7.453	0.19813	5.0472
0.1	7.4512	0.19773	5.0575
0.101	7.4494	0.19732	5.0679
0.102	7.4476	0.19692	5.0783
0.103	7.4458	0.19651	5.0888
0.104	7.4441	0.19611	5.0993
0.105	7.4423	0.1957	5.1099
0.106	7.4405	0.19529	5.1205
0.107	7.4387	0.19489	5.1312
0.108	7.4369	0.19448	5.142
0.109	7.4351	0.19407	5.1527
0.11	7.4333	0.19366	5.1636
0.111	7.4314	0.19326	5.1745
0.112	7.4296	0.19285	5.1855
0.113	7.4278	0.19244	5.1965
0.114	7.426	0.19203	5.2075
0.115	7.4242	0.19162	5.2186
0.116	7.4223	0.19121	5.2298
0.117	7.4205	0.1908	5.241
0.118	7.4187	0.19039	5.2523
0.119	7.4168	0.18998	5.2636
0.12	7.415	0.18957	5.275
0.121	7.4132	0.18916	5.2865
0.122	7.4113	0.18875	5.298
0.123	7.4095	0.18834	5.3095
0.124	7.4076	0.18793	5.3211
0.125	7.4058	0.18752	5.3327
0.126	7.4039	0.18711	5.3444
0.127	7.402	0.1867	5.3562
0.128	7.4002	0.18629	5.368
0.129	7.3983	0.18588	5.3798
0.13	7.3964	0.18547	5.3917
0.131	7.3946	0.18506	5.4037
0.132	7.3927	0.18465	5.4157
0.133	7.3908	0.18424	5.4277
0.134	7.3889	0.18383	5.4398
0.135	7.3871	0.18342	5.452
0.136	7.3852	0.18301	5.4642
0.137	7.3833	0.1826	5.4765
0.138	7.3814	0.18219	5.4888
0.139	7.3795	0.18178	5.5011
0.14	7.3776	0.18137	5.5136
0.141	7.3757	0.18096	5.526
0.142	7.3738	0.18055	5.5385
0.143	7.3719	0.18014	5.5511
0.144	7.37	0.17974	5.5637
0.145	7.3681	0.17933	5.5764
0.146	7.3662	0.17892	5.5891
0.147	7.3643	0.17851	5.6018
0.148	7.3623	0.17811	5.6146
0.149	7.3604	0.1777	5.6275
0.15	7.3585	0.17729	5.6404
0.151	7.3566	0.17689	5.6533
0.152	7.3547	0.17648	5.6663
0.153	7.3527	0.17608	5.6794
0.154	7.3508	0.17567	5.6925
0.155	7.3489	0.17527	5.7056
0.156	7.3469	0.17486	5.7188
0.157	7.345	0.17446	5.732
0.158	7.3431	0.17405	5.7453
0.159	7.3411	0.17365	5.7587
0.16	7.3392	0.17325	5.772
0.161	7.3372	0.17285	5.7855
0.162	7.3353	0.17245	5.7989
