angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0	7.4309	0.066398	15.061
0.001	7.4307	0.090205	11.221
0.002	7.4306	0.10968	8.991
0.003	7.4304	0.12406	7.9162
0.004	7.4303	0.13253	7.5405
0.005	7.4302	0.13494	7.4594
0.006	7.4301	0.1338	7.4977
0.007	7.43	0.13236	7.5461
0.008	7.4299	0.13222	7.5508
0.009	7.4298	0.13267	7.5357
0.01	7.4297	0.13291	7.5272
0.011	7.4296	0.13287	7.5287
0.012	7.4295	0.13276	7.5322
0.013	7.4294	0.13274	7.5326
0.014	7.4293	0.13278	7.5312
0.015	7.4292	0.13281	7.5299
0.016	7.429	0.13282	7.5295
0.017	7.4289	0.13282	7.5292
0.018	7.4288	0.13282	7.5287
0.019	7.4287	0.13284	7.528
0.02	7.4286	0.13285	7.5273
0.021	7.4285	0.13286	7.5266
0.022	7.4284	0.13287	7.5259
0.023	7.4283	0.13289	7.5251
0.024	7.4282	0.1329	7.5243
0.025	7.4281	0.13292	7.5235
0.026	7.428	0.13293	7.5226
0.027	7.4279	0.13295	7.5217
0.028	7.4277	0.13296	7.5208
0.029	7.4276	0.13298	7.5198
0.03	7.4275	0.133	7.5188
0.031	7.4274	0.13302	7.5178
0.032	7.4273	0.13304	7.5167
0.033	7.4272	0.13306	7.5156
0.034	7.4271	0.13308	7.5145
0.035	7.427	0.1331	7.5133
0.036	7.4269	0.13312	7.5121
0.037	7.4268	0.13314	7.5109
0.038	7.4267	0.13316	7.5096
0.039	7.4266	0.13319	7.5083
0.04	7.4265	0.13321	7.507
0.041	7.4264	0.13323	7.5056
0.042	7.4263	0.13326	7.5042
0.043	7.4262	0.13328	7.5028
0.044	7.426	0.13331	7.5013
0.045	7.4259	0.13334	7.4998
0.046	7.4258	0.13336	7.4983
0.047	7.4257	0.13339	7.4967
0.048	7.4256	0.13342	7.4952
0.049	7.4255	0.13345	7.4935
0.05	7.4254	0.13348	7.4919
0.051	7.4253	0.13351	7.4902
0.052	7.4252	0.13354	7.4884
0.053	7.4251	0.13357	7.4867
0.054	7.425	0.1336	7.4849
0.055	7.4249	0.13363	7.4831
0.056	7.4248	0.13367	7.4812
0.057	7.4247	0.1337	7.4793
0.058	7.4246	0.13374	7.4774
0.059	7.4245	0.13377	7.4755
0.06	7.4244	0.13381	7.4735
0.061	7.4243	0.13384	7.4715
0.062	7.4242	0.13388	7.4695
0.063	7.424	0.13392	7.4674
0.064	7.4239	0.13395	7.4653
0.065	7.4238	0.13399	7.4631
0.066	7.4237	0.13403	7.461
0.067	7.4236	0.13407	7.4588
0.068	7.4235	0.13411	7.4566
0.069	7.4234	0.13415	7.4543
0.07	7.4233	0.13419	7.452
0.071	7.4232	0.13423	7.4497
0.072	7.4231	0.13428	7.4474
0.073	7.423	0.13432	7.445
0.074	7.4229	0.13436	7.4426
0.075	7.4228	0.13441	7.4401
0.076	7.4227	0.13445	7.4377
0.077	7.4226	0.1345	7.4352
0.078	7.4225	0.13454	7.4327
0.079	7.4224	0.13459	7.4301
0.08	7.4223	0.13463	7.4275
0.081	7.4222	0.13468	7.4249
0.082	7.4221	0.13473	7.4223
0.083	7.422	0.13478	7.4196
0.084	7.4219	0.13483	7.4169
0.085	7.4217	0.13488	7.4142
0.086	7.4216	0.13493	7.4115
0.087	7.4215	0.13498	7.4087
0.088	7.4214	0.13503	7.4059
0.089	7.4213	0.13508	7.4031
0.09	7.4212	0.13513	7.4002
0.091	7.4211	0.13518	7.3973
0.092	7.421	0.13524	7.3944
0.093	7.4209	0.13529	7.3915
0.094	7.4208	0.13535	7.3885
0.095	7.4207	0.1354	7.3855
0.096	7.4206	0.13546	7.3825
