 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
1	21.2528	2602.6848	349.6564	2055	3469	5.2143	5.1896	45.1159	5.3727	55314.3064	2499	3451160.0000	499	58	55.5610	5.1906
2	31.0778	2659.2362	385.3714	2042	3679	6.3073	6.2736	22.8635	6.4467	82643.1954	2545	5156259.0000	24	66	160.4976	6.3300
3	22.6472	2564.5952	324.1222	2047	3367	5.3870	5.3527	4.3299	5.5198	58080.9032	2476	3623773.0000	967	106	36.6071	5.3172
4	30.9816	2977.6363	433.2952	2050	3972	6.3058	6.2557	2.6950	6.4467	92252.0198	2877	5755771.0000	886	145	19.5024	6.2034
5	29.0262	2614.3689	374.4308	2049	3488	6.1012	6.0574	49.2732	6.2344	75885.3058	2537	4734622.0000	409	164	23.9625	6.0768
6	26.8465	2504.3260	333.1498	2043	3323	5.8557	5.8374	132.7390	6.0145	67232.3119	2424	4194746.0000	33	165	130.7321	5.8236
7	33.9468	2712.6525	398.1904	2043	3761	6.5915	6.5572	169.3847	6.7432	92085.7640	2591	5745398.0000	285	338	140.3322	6.5832
8	13.2229	2453.8885	264.9066	2042	3119	4.1177	4.0886	119.4920	4.2557	32447.4930	2375	2024458.0000	599	342	120.3791	4.0512
9	32.4722	2855.2315	422.9445	2050	3888	6.4543	6.4058	138.3783	6.6027	92715.6703	2743	5784699.0000	634	400	147.5288	6.4566
10	18.9929	2498.0726	310.0104	2041	3310	4.9268	4.9083	76.7932	5.0640	47445.5820	2403	2960216.0000	501	401	143.1301	4.9374
11	24.9071	2681.7336	282.5731	2042	3478	5.6821	5.5812	109.4472	5.8099	66794.2416	2627	4167414.0000	101	430	101.3099	5.6398
12	34.2032	3050.2385	440.4048	2041	4044	6.6252	6.5732	110.4230	6.7622	104327.9306	2941	6509209.0000	816	488	128.1572	6.5832
13	33.3537	2996.3671	449.3680	2043	4235	6.5341	6.4993	96.2417	6.6895	99940.0314	2875	6235440.0000	860	547	119.4759	6.4566
14	26.3496	2351.5335	339.3744	1799	3158	5.8113	5.7731	105.1187	5.9516	61961.9892	2279	3865921.0000	76	633	150.7086	5.8188
15	22.5350	2239.5825	287.2049	1847	2973	5.3683	5.3448	131.9280	5.5024	50469.0074	2169	3148853.0000	254	726	113.0255	5.3172
16	28.4973	2319.5276	317.2579	1878	3132	6.0286	6.0187	39.1093	6.1737	66100.3365	2236	4124120.0000	127	811	61.8584	6.0768
17	16.7490	2085.9589	227.3049	1753	2613	4.6285	4.6074	170.0308	4.7724	34937.7075	2017	2179827.0000	514	817	111.8014	4.5576
18	32.1517	2405.3485	346.8163	1913	3230	6.4211	6.3753	78.8836	6.5662	77335.9287	2308	4825129.0000	242	868	123.9965	6.3300
19	21.3329	2056.1217	239.2948	1721	2615	5.2147	5.2087	46.0894	5.3831	43863.0929	1986	2736698.0000	823	972	41.1859	5.1906
20	26.7663	2230.2251	290.6445	1854	2929	5.8447	5.8309	73.0898	6.0025	59694.9451	2151	3724476.0000	239	988	62.3540	5.8236
21	33.7063	2363.2416	325.6478	1928	3235	6.5596	6.5426	39.3026	6.7301	79656.2331	2274	4969897.0000	517	1021	73.6105	6.4566
22	22.4068	2463.5508	316.9112	2046	3219	5.3494	5.3332	124.8661	5.4966	55200.2530	2373	3444044.0000	113	55	141.5463	5.3172
23	29.0904	3739.1928	662.5278	2041	5066	6.0869	6.0850	30.5843	6.2690	108774.4433	3642	6786635.0000	891	69	136.6366	6.0768
24	29.8917	2580.5732	346.6326	2041	3455	6.1976	6.1410	178.2556	6.3275	77137.8258	2495	4812769.0000	27	122	19.8852	6.0768
25	28.3371	3795.6374	687.0202	2042	5204	6.0296	5.9837	100.5563	6.1737	107557.1683	3715	6710687.0000	741	106	151.8584	5.9502
26	14.4250	2530.3500	279.4861	2045	3303	4.2907	4.2805	46.3939	4.4796	36500.2201	2448	2277315.0000	228	218	42.7094	4.3044
27	36.4471	4131.1522	848.5419	2042	5880	6.8297	6.7948	95.9988	6.9918	150568.4667	3961	9394240.0000	913	222	132.0643	6.8364
